id,prospect_id,isnewleadprimary,assigned_to_user_id,position_role_id,leadid,name1,name2,email1,email2,mobile1,mobile2,landline1,landline2,camp_name,camp_id,reason,lastcalldate,cool_off_flag,cool_off_timestamp,is_member,product_id,interested,dnc_flag,is_active_lead_primary,hfrp_id,type_of_lead,handheld,qualified,qualified_at,qma_date,qma_flag,sms_confirmed,refer_id,age_group,offer,active_lead_id,web_data_source,city,data_collt_date,lead_stage,pullpushflag,status,lead_score,lead_status,lead_call_status,is_active,reason_for_interested,reason_for_followup,reason_for_qualified,callback_date,app_date,venue_list,app_address,app_location,pincode,remark,no_of_calls,no_of_call_attempts,landmark,sales_owner,marital_status,car_model,car_make,campaign_sub_type,price_bracket,occupation,last_call_date,promoter_name,promoter_agency,owner_user_id,keyword,placement,event_string,mobile_device,time_spent,os,concatenated_string,voucher_no,coupon_status,coupon_gen_date,voucher_valid_upto,car_make1,car_model1,car_make2,car_model2,type,team,calldisabled,opc_level_info,data_collection_date,preferredTime,prospectcity,prospectcountry,cardtype,frequentflyer,doyouownacar,daysholidaysinayr,adv_holiday_planned,refersourceId,datasource,source,mobiledevice,concatstring,lead_control_location,excel_type,is_web,is_excel,is_opportunity,opportunity_id,ib_lead_id,preferred_communication,preferred_day,preferred_time,device,response_coupon_no,web_accessed_from,device_serial_no,guest_member_flag,hep_member_id,lead_generated_user_2,no_of_times_leads_created,HFRP_referred_by,reason_for_rejection,reason_for_inactivation,cool_off_end_date,hep_average_rating,fresh_lead,hep_checkin_date,cooloff_end_date,referred_prospect_first_name,hep_source_name,hfrp_member_id,lead_generated_user_1,prname,reason_rej_inactive,is_segment,reason_id,created_at,created_by,updated_by,updated_at,track_record_id,is_customer
11,P-ljpagkq80p,Y,NULL,128,L-eli7alvs3o,Shri W,,,,9876543210,,,,Jul 2018 PRO Engagement Test Chennai,2,NULL,NULL,N,NULL,N,NULL,N,N,Y,212,PRO,N,N,NULL,NULL,N,N,NULL,1,10,L-8k6jxxzo87,,8,NULL,Warm,push,Active,0.00637,19,2,N,0,0,0,NULL,11/20/2018 11:37,2,pune,,411094,,1,1,pune,0,2,203,11,0,0,4,11/20/2018 0:00,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,0,0,NULL,NULL,,0,NULL,,,,NULL,,,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0000-00-00,NULL,,,NULL,,NULL,NULL,,NULL,0000-00-00 00:00:00,0,1,11/21/2018 5:30,,Y
12,P-pdviqimcte,Y,NULL,147,L-t6mi0pvrdj,Test1 OPTY,,,,7890654325,,,,Sep 2018 RSP Sales Test Chennai,60,NULL,NULL,N,NULL,N,10,N,N,Y,214,RSP,N,N,NULL,11/20/2018 7:00,Y,N,NULL,2,2,L-en4ioolflr,,8,NULL,Cold,pull,Active,0,21,4,N,0,0,,11/29/2018 12:30,11/22/2018 13:00,1,Test address,,411048,,2,1,Maharastra,82,2,221,6,0,0,2,11/20/2018 0:00,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,5,NULL,,NULL,NULL,NULL,0,0,NULL,NULL,Y,87,NULL,,,,NULL,,,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0000-00-00,NULL,,,NULL,,NULL,NULL,,NULL,0000-00-00 00:00:00,0,64,11/21/2018 5:30,,Y
15,P-8gx7yzad7o,Y,NULL,1,L-q2t6pfn561,manish gupta,,,,7987196733,,,,Jul 2018 HFRP Bliss Chennai,5,NULL,NULL,N,NULL,N,NULL,N,N,Y,219,HFRP,N,N,NULL,NULL,N,N,NULL,1,2,L-igwfaujbcx,,8,NULL,Cold,pull,Active,0,19,2,N,0,0,0,NULL,11/20/2018 15:04,1,zxc,,23456,,1,1,sdfgv,0,3,194,4,0,0,2,11/20/2018 0:00,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,0,0,NULL,NULL,,0,NULL,,,,NULL,,,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0000-00-00,NULL,,,NULL,,NULL,NULL,,NULL,0000-00-00 00:00:00,0,1,11/21/2018 5:30,,Y
16,P-t703x3v68a,Y,NULL,1,L-r2kcpz54pa,Manishyu Guptayu,,mgupta1711@gmail.com7,,9807898767,,,,Sep 2018 HFRP MRD Test Chennai,61,NULL,NULL,N,NULL,N,NULL,N,N,Y,220,HFRP,N,N,NULL,NULL,N,N,NULL,3,3,L-o3j07fxds5,,8,NULL,Cold,pull,Active,0.00493,20,4,N,0,0,0,NULL,11/20/2018 14:50,1,gfds,,234567,,1,1,rew,82,2,146,18,0,0,1,11/20/2018 0:00,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,0,0,NULL,NULL,Y,90,NULL,,,,NULL,,,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0000-00-00,NULL,,,NULL,,NULL,NULL,,NULL,0000-00-00 00:00:00,0,1,11/21/2018 5:30,5bf3d2d76b061a7ee9de0906,Y
17,P-6dfrvf4jmi,Y,NULL,126,L-3pz2rw6lg3,test2 tes,,,,9890281008,,,,Jul 2018 COAL Retail Chennai,6,7,NULL,Y,2/18/2019 23:59,N,NULL,N,N,Y,221,Sales,N,N,NULL,NULL,N,N,NULL,,,L-9bqcmvpnqz,,NULL,NULL,,pull,Active,0,16,2,N,0,0,0,NULL,0000-00-00 00:00:00,2,dfg,,12345,,2,1,sdfv,0,,0,0,0,0,0,11/20/2018 0:00,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,0,0,NULL,NULL,,0,NULL,,,,NULL,,,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0000-00-00,NULL,,,NULL,,NULL,R,,7,0000-00-00 00:00:00,0,1,11/20/2018 16:49,,Y
18,P-26737mmn4u,N,NULL,128,L-9ohjftf7uj,rest test,,,,1234321234,,,,Aug 2018 RSP Sales Chennai,59,NULL,NULL,N,NULL,N,NULL,N,N,N,222,RSP,N,N,NULL,NULL,N,N,NULL,3,11,L-4faz4x8u6l,,95,NULL,Cold,push,Active,0,20,4,N,0,0,0,NULL,11/28/2018 19:00,1,East Street Camp Pune,,411048,,2,1,MH,82,2,194,4,0,0,2,11/20/2018 0:00,,NULL,128,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,0,0,NULL,NULL,Y,92,NULL,,,,NULL,,,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0000-00-00,NULL,,,NULL,,NULL,NULL,,NULL,0000-00-00 00:00:00,0,65,11/21/2018 5:30,,Y
19,P-h5x7lpj864,Y,NULL,1,L-tsmba9xaa1,mmmm gggg,,,,9806567688,,,,Jul 2018 HFRP Bliss Chennai,5,NULL,NULL,N,NULL,N,NULL,N,N,Y,223,HFRP,N,N,NULL,NULL,N,N,NULL,NULL,NULL,L-aiy2rmvhqx,NULL,8,NULL,Cold,pull,Active,0,9,1,Y,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0000-00-00 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,11/20/2018 16:50,NULL,NULL,11/20/2018 16:50,,Y
24,P-ren4cszdzp,Y,NULL,1,L-p0475bmk6u,testsm testsm,,testedsm@gmail.com,,987654312,,,,Sep 2018 HFRP MRD Test Chennai,61,NULL,NULL,N,NULL,N,NULL,N,N,Y,225,HFRP,N,N,NULL,NULL,N,N,NULL,NULL,NULL,L-3ylwadlaos,NULL,8,NULL,Cold,pull,Active,0,9,1,Y,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0000-00-00 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,11/20/2018 17:01,NULL,NULL,11/20/2018 17:01,,Y
25,P-rlw84au3sf,Y,NULL,1,L-rqki70igzv,testsm testsm,,testedsm@gmail.com,,9876543212,,,,Sep 2018 HFRP MRD Test Chennai,61,NULL,NULL,N,NULL,N,NULL,N,N,Y,226,HFRP,N,N,NULL,NULL,N,N,NULL,NULL,NULL,L-jbs87cue5p,NULL,8,NULL,Cold,pull,Active,0,9,1,Y,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0000-00-00 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,11/20/2018 17:09,NULL,NULL,11/20/2018 17:09,,Y
26,P-ren4cszdzp,Y,NULL,1,L-ex9ak3aos9,testsm testsm,,testedsm@gmail.com,testsm@gmail.com,987654312,,,,Sep 2018 HFRP MRD Test Chennai,61,6,NULL,N,NULL,N,NULL,N,N,Y,225,HFRP,N,N,NULL,NULL,N,N,NULL,NULL,NULL,L-p0475bmk6u,NULL,8,NULL,Cold,pull,Rejected,0,9,1,N,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0000-00-00 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,R,,6,11/20/2018 17:16,NULL,NULL,11/20/2018 17:16,,Y
27,P-amadmprifm,Y,NULL,NULL,L-nndrictaa2,rr rr,,manishfinal@gmail.com,,7987199999,,,,Jul 2018 Advertisement ERP Mumbai Vashi,12,NULL,NULL,N,NULL,N,NULL,N,N,Y,NULL,NULL,N,N,NULL,NULL,N,N,NULL,6,NULL,L-ihrrb1euxy,NULL,292,NULL,No Stage,pull,Active,0.00142,9,1,Y,0,0,0,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,0,0000-00-00 00:00:00,,,NULL,NULL,rr,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,,0,0,NULL,NULL,NULL,,,,292,,,,No,rr,NULL,Bliss-Join,Web Form,rr,rr,rr,0,0,1,NULL,N,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,,NULL,11/21/2018 11:34,NULL,NULL,11/21/2018 11:34,,Y
28,P-m6kx8vc2yw,Y,NULL,128,L-p54fc9amo4,sanket2 K,,,,9890281007,,,,Jan 2017 PRO Bliss Leads Pune Pune,1,NULL,NULL,N,NULL,N,3,N,N,Y,227,Sales,N,N,NULL,11/21/2018 8:45,Y,N,NULL,2,9,L-24e8wk9lty,,8,NULL,Warm,pull,Active,0.01328,21,4,N,0,0,2,0000-00-00 00:00:00,11/21/2018 15:00,3,jhgfdx,,411048,,2,1,MH,82,2,219,18,0,0,2,11/21/2018 0:00,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,Converted,NULL,NULL,NULL,0,0,NULL,NULL,Y,93,NULL,,,,NULL,,,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0000-00-00,NULL,,,NULL,,NULL,NULL,,NULL,0000-00-00 00:00:00,0,65,11/22/2018 5:30,,Y
29,P-h0npcnm0nx,Y,NULL,126,L-j3r3e5b6l9,neeraj rawat,,neeraj05rawat@gmail.com,,9632283616,,,,Jul 2018 PRO Engagement Test Chennai,2,NULL,NULL,N,NULL,N,NULL,N,N,Y,228,PRO,N,N,NULL,NULL,N,N,NULL,2,9,L-2m5hw50h64,,8,NULL,Cold,push,Active,0,20,4,N,0,0,0,NULL,11/22/2018 14:43,17,sds,1,246777,,2,1,asd,82,2,194,4,0,0,2,11/21/2018 0:00,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,0,0,NULL,NULL,Y,94,NULL,,,,NULL,,,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0000-00-00,NULL,,,NULL,,NULL,NULL,,NULL,0000-00-00 00:00:00,0,64,11/22/2018 5:30,,Y
